count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,day_of_week,month,is_weekend,hour_bin,total_vehicles,total_cycles,vehicle_density_km,hgv_dominant,mean_vehicles_by_direction,lat_lon_delta
6016,W,2019,2019-10-02,7,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,7,1961,1,481,40,9,5,6,79,96,235,2685,2,10,0,Morning,2685,0,268.5,0,779.0666666666667,1.1002875979463762
6016,E,2019,2019-10-02,12,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,1,1157,12,334,45,7,11,13,93,79,248,1752,2,10,0,Afternoon,1752,0,175.2,0,598.2,1.1002875979463762
6016,W,2019,2019-10-02,11,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,8,1254,3,378,27,14,8,13,74,76,212,1855,2,10,0,Morning,1855,0,185.5,0,779.0666666666667,1.1002875979463762
6016,W,2019,2019-10-02,12,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,7,1243,15,387,46,7,17,14,79,97,260,1912,2,10,0,Afternoon,1912,0,191.2,0,779.0666666666667,1.1002875979463762
6016,W,2019,2019-10-02,13,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,7,1247,9,448,46,8,20,15,45,88,222,1933,2,10,0,Afternoon,1933,0,193.3,0,779.0666666666667,1.1002875979463762
6016,W,2019,2019-10-02,17,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,12,1696,5,351,15,3,2,4,18,44,86,2150,2,10,0,Afternoon,2150,0,215.0,0,779.0666666666667,1.1002875979463762
6016,W,2019,2019-10-02,18,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,7,1613,7,249,14,3,3,8,22,23,73,1949,2,10,0,Evening,1949,0,194.9,0,779.0666666666667,1.1002875979463762
6019,S,2019,2019-06-17,10,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,2,2651,15,519,133,14,13,17,35,250,462,3649,0,6,0,Morning,3649,0,776.3829787234042,0,1095.1927710843374,1.3253593747991819
6019,S,2019,2019-06-17,12,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,14,2548,16,423,107,14,17,23,21,198,380,3381,0,6,0,Afternoon,3381,0,719.3617021276596,0,1095.1927710843374,1.3253593747991819
6019,N,2019,2019-06-17,9,1,South West,70,Gloucestershire,M5,Major,11,10,389660,223200,51.907239,-2.15171,4.7,2.92,0,2,1705,10,398,93,12,14,13,35,205,372,2487,0,6,0,Morning,2487,0,529.1489361702128,0,1096.3680981595091,1.3253593747991819
